,_id,page_url,copyright
0,61d33e807349c0d4d0defb01,/entries/al-farabi-metaphysics/,Stephen Menn 
1,61d33e867349c0d4d0defb08,/entries/aristotle-aesthetics/,Pierre Destrée 
2,61d33e937349c0d4d0defb17,/entries/church/,Harry Deutsch and Oliver Marshall 
3,61d33e9a7349c0d4d0defb1d,/entries/contract-law/,Daniel Markovits and Emad Atiq 
4,61d33ea27349c0d4d0defb29,/entries/disagreement-moral/,Folke Tersman 
5,61d33ea37349c0d4d0defb2b,/entries/ecological-genetics/,Michael Wade 
6,61d33ea47349c0d4d0defb2d,/entries/emotions-chinese/,Bongrae Seok 
7,61d33eaa7349c0d4d0defb34,/entries/evil-kinds-origins/,Andrew Chignell 
8,61d33eb57349c0d4d0defb41,/entries/god-ultimates/,Jeanine Diller 
9,61d33ebc7349c0d4d0defb4a,/entries/jury-theorems/,Franz Dietrich and Kai Spiekermann 
10,61d33ebe7349c0d4d0defb4d,/entries/korean-confucianism/,Kevin N. Cawley 
11,61d33ec97349c0d4d0defb59,/entries/metaphysical-explanation/,"Andrew Brenner, Anna-Sofia Maurin, Alexander Skiles,  Robin Stenwall, and  Naomi Thompson "
12,61d33ecc7349c0d4d0defb5e,/entries/natural-deduction/,Francis Jeffry Pelletier and Allen Hazen 
13,61d33ed37349c0d4d0defb67,/entries/phylogenetic-inference/,Matt Haber and Joel Velasco 
14,61d33edb7349c0d4d0defb70,/entries/scientific-pluralism/,David Ludwig and Stéphanie Ruphy 
15,61d33ee07349c0d4d0defb77,/entries/shankara/,Neil Dalal 
